variable,time,value,.lower,.upper,.width,.point,.interval,total_cases
cases,0,27,12,52,0.95,median,qi,14
cases,9,386,186.9750000000001,721,0.95,median,qi,403
cases,10,537,262.97500000000014,969.0250000000001,0.95,median,qi,636
cases,11,610,297,1142,0.95,median,qi,547
cases,12,611,299,1158.0500000000002,0.95,median,qi,770
cases,13,493.5,243,914.0500000000002,0.95,median,qi,546
cases,14,352,169,667.0250000000001,0.95,median,qi,361
cases,15,238,114.9750000000001,467,0.95,median,qi,208
cases,16,162,71,347.0250000000001,0.95,median,qi,141
cases,1,29,13,55,0.95,median,qi,24
cases,2,29,12,56,0.95,median,qi,12
cases,3,29,13,55,0.95,median,qi,22
cases,4,29,13,56,0.95,median,qi,63
cases,5,29,12,56,0.95,median,qi,45
cases,6,74,34,141,0.95,median,qi,75
cases,7,143,69,267.0250000000001,0.95,median,qi,173
cases,8,241,116,445,0.95,median,qi,209
