variable,time,value,.lower,.upper,.width,.point,.interval,week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time.y,coverage
rt,10,1.3628549511316868,1.064373969785613,1.7960275467781504,0.95,median,qi,8,186,1214,17994,16029,0.01160396780834737,249.08409,9.558457832246595e-6,0.15321252059308071,1.4505967777777775,8,TRUE
rt,11,1.1800557459695145,0.9078022934632766,1.5428650786589495,0.95,median,qi,9,323,1379,19830,18791,0.01718907987866531,333.75384,1.2464887511722493e-5,0.23422770123277736,1.2652149743589745,9,TRUE
rt,12,0.9758568728028195,0.7438687146177074,1.2466618124944537,0.95,median,qi,10,371,1370,18077,19046,0.0194791557282369,335.51730000000003,1.4218361845428392e-5,0.2708029197080292,1.028930153846154,10,TRUE
rt,13,0.818339088799102,0.6076821808399057,1.0616050597438371,0.95,median,qi,11,298,1405,15112,16465,0.01809899787427877,298.15191,1.2881849020838984e-5,0.21209964412811388,0.8639492666666667,11,TRUE
rt,14,0.7422019937289297,0.5435689425285885,0.9781282837340686,0.95,median,qi,12,195,1489,12181,13870,0.01405912040374909,265.62996000000004,9.441988182504432e-6,0.13096037609133646,0.7555184333333334,12,TRUE
rt,15,0.6947318115872447,0.5143539290257935,0.9216183889370575,0.95,median,qi,13,163,1285,9230,10929,0.0149144477994327,181.33749,1.1606574162982646e-5,0.12684824902723735,0.668328,13,TRUE
rt,16,0.6129954793154688,0.430361314261314,0.8553220538185086,0.95,median,qi,14,196,1455,6500,8108,0.02417365564874198,150.83685,1.6614196322159437e-5,0.13470790378006872,0.5848898461538461,14,TRUE
rt,17,0.5571820198578555,0.34958526894028047,0.8496651288329665,0.95,median,qi,15,112,1456,3965,5342,0.02096593036315986,100.37196,1.439967744722518e-5,0.07692307692307693,0.4709098974358974,15,TRUE
rt,18,0.5617107534550987,0.2999582762880976,0.967238846157596,0.95,median,qi,16,54,1463,2226,3248,0.0166256157635468,61.30062,1.1364057254645796e-5,0.03691045796308954,0.39544722222222223,16,TRUE
rt,2,1.2522353635766912,0.7365350941767436,2.08662475339189,0.95,median,qi,0,43,1458,3326,3423,0.01256208004674262,64.07811000000001,8.615967110248712e-6,0.02949245541838134,1.01470144,0,TRUE
rt,3,1.3412180945251084,0.7800957643780291,2.327366632634727,0.95,median,qi,1,80,1427,3617,3475,0.02302158273381295,63.86688,1.6132854053127506e-5,0.05606166783461808,1.0602398133333333,1,TRUE
rt,4,1.4326179047149106,0.8403465242729595,2.5121582235637803,0.95,median,qi,2,57,1462,4042,3791,0.01503561065681878,71.037,1.0284275415060726e-5,0.03898768809849521,1.10317394,2,TRUE
rt,5,1.5243884672939583,0.931953867163513,2.6287113162613873,0.95,median,qi,3,49,1321,4524,4214,0.01162790697674418,71.52516,8.802351988451313e-6,0.03709311127933384,1.1721443333333337,3,TRUE
rt,6,1.6247213336711792,1.0510681925290506,2.6527185479289166,0.95,median,qi,4,133,1463,5866,5147,0.02584029531766077,96.91461,1.7662539519932176e-5,0.09090909090909093,1.3343168,4,TRUE
rt,7,1.7381782070413696,1.266757147384538,2.4810365351614774,0.95,median,qi,5,121,1392,7951,6846,0.01767455448437043,123.13485,1.2697237416932784e-5,0.08692528735632184,1.4803552333333334,5,TRUE
rt,8,1.6627181844138526,1.298781850421237,2.1875069923183155,0.95,median,qi,6,167,1405,10764,9195,0.01816204458945079,165.65157,1.292672212772298e-5,0.1188612099644128,1.5467182435897435,6,TRUE
rt,9,1.4828303597824806,1.1449724531928673,1.9184428812670404,0.95,median,qi,7,238,1406,14444,12402,0.0191904531527173,225.45693,1.3648970947878597e-5,0.16927453769559034,1.5332026153846154,7,TRUE
