variable,time,value,.lower,.upper,.width,.point,.interval,total_cases
cases,0,27,11,51,0.95,median,qi,14
cases,9,364,176,680.0250000000001,0.95,median,qi,353
cases,10,518.5,249,968.0750000000003,0.95,median,qi,775
cases,11,558.5,271.9750000000001,1033,0.95,median,qi,423
cases,12,577,278,1111.025,0.95,median,qi,604
cases,13,538,257,1000.0500000000002,0.95,median,qi,657
cases,14,447,223,832.0250000000001,0.95,median,qi,474
cases,15,337,163,641.0250000000001,0.95,median,qi,297
cases,16,266,121,549,0.95,median,qi,235
cases,1,29,12,55,0.95,median,qi,24
cases,2,29,13,57,0.95,median,qi,12
cases,3,29,13,56,0.95,median,qi,22
cases,4,29,12,55,0.95,median,qi,63
cases,5,29,13,55,0.95,median,qi,45
cases,6,67,32,126,0.95,median,qi,67
cases,7,126,59,241.0250000000001,0.95,median,qi,122
cases,8,228,106,422,0.95,median,qi,251
