variable,time,value,.lower,.upper,.width,.point,.interval,week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time.y,coverage
rt,10,2.1573674339452302,1.6491185240015733,2.8737303287696645,0.95,median,qi,8,251,1023,17754,15745,0.01594156875198475,209.86776,1.5583156160297905e-5,0.24535679374389052,1.4903758333333332,8,FALSE
rt,11,1.8308952019861755,1.3940135211289928,2.4463168460046703,0.95,median,qi,9,353,1777,20085,18781,0.01879559128906873,430.67646,1.0577147602177118e-5,0.19864940911648848,1.3043389487179486,9,FALSE
rt,12,1.350559138827353,0.9904096866101603,1.7894787550659577,0.95,median,qi,10,775,2205,18953,19526,0.03969066885178736,553.4154000000001,1.800030333414393e-5,0.35147392290249435,1.0609778461538464,10,TRUE
rt,13,1.150115905416815,0.848024992328043,1.530392924646174,0.95,median,qi,11,423,2450,15967,17472,0.02421016483516483,549.7875,9.88169993272034e-6,0.17265306122448978,0.8883550000000001,11,TRUE
rt,14,0.9759281299883777,0.7229759058832809,1.2979991925717478,0.95,median,qi,12,604,2695,13048,14635,0.04127092586265801,506.628,1.5313887147553994e-5,0.22411873840445268,0.7746652333333334,12,TRUE
rt,15,0.8007769413954309,0.5862375274051693,1.0740758528765981,0.95,median,qi,13,657,3272,9982,11683,0.05623555593597534,488.03796000000006,1.7186905848403223e-5,0.20079462102689483,0.6825072,13,TRUE
rt,16,0.6844690956549937,0.47264412250271226,0.9617636033512702,0.95,median,qi,14,474,4375,7070,8846,0.05358354058331449,493.82262,1.2247666419043311e-5,0.10834285714285714,0.5954726153846153,14,TRUE
rt,17,0.6491047633906073,0.41059817428342826,0.9794412185637182,0.95,median,qi,15,297,5478,4346,5845,0.05081266039349871,408.73842,9.275768600492649e-6,0.05421686746987952,0.47777938461538466,15,TRUE
rt,18,0.6526084344887966,0.3363449410834446,1.188388172251486,0.95,median,qi,16,235,6475,2465,3547,0.06625317169438963,293.139,1.0232150068631603e-5,0.03629343629343629,0.4002064444444445,16,TRUE
rt,2,1.3812034308765355,0.7387284315926524,2.4966416319660034,0.95,median,qi,0,14,700,3054,2916,0.00480109739368998,26.244,6.858710562414267e-6,0.02,1.0240546133333337,0,TRUE
rt,3,1.5344190863892182,0.7946807743346412,2.961830747473589,0.95,median,qi,1,24,700,3232,3111,0.00771456123432979,27.999,1.1020801763328285e-5,0.03428571428571429,1.07132778,1,TRUE
rt,4,1.701093327284957,0.8854655480615625,3.2516977034067205,0.95,median,qi,2,12,700,3468,3342,0.00359066427289048,30.078000000000003,5.12952038984355e-6,0.01714285714285714,1.1165158,2,TRUE
rt,5,1.9074529552370882,1.037529042858421,3.4223656775483096,0.95,median,qi,3,22,700,4173,3837,0.00573364607766484,34.533,8.190922968092632e-6,0.03142857142857143,1.1888162666666668,3,TRUE
rt,6,2.10587730452799,1.2730921718469483,3.473325710315899,0.95,median,qi,4,63,700,5384,4677,0.01347017318794098,42.093,1.9243104554201412e-5,0.09,1.3559970666666668,4,TRUE
rt,7,2.347665921176494,1.6793823865978665,3.2729260807892615,0.95,median,qi,5,45,700,7488,6319,0.00712137996518436,56.871,1.0173399950263375e-5,0.06428571428571428,1.5074009000000002,5,FALSE
rt,8,2.4585830744316097,1.8616782860569105,3.3041074176295537,0.95,median,qi,6,67,700,10172,8669,0.00772868843003806,78.021,1.1040983471482952e-5,0.09571428571428572,1.578641717948718,6,FALSE
rt,9,2.414561210843808,1.8364247257361344,3.2408096548351297,0.95,median,qi,7,122,700,14028,11842,0.01030231379834487,106.578,1.471759114049268e-5,0.1742857142857143,1.5708662564102562,7,FALSE
