variable,time,value,.lower,.upper,.width,.point,.interval,week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time.y,coverage
incid,10,2559.436931836068,1399.1615580187029,5290.196973031241,0.95,median,qi,8,186,1214,17994,16029,0.01160396780834737,249.08409,9.558457832246595e-6,0.15321252059308071,1.4505967777777775,8,FALSE
incid,11,2710.2302054361294,1475.055266835422,5618.435001250458,0.95,median,qi,9,323,1379,19830,18791,0.01718907987866531,333.75384,1.2464887511722493e-5,0.23422770123277736,1.2652149743589745,9,FALSE
incid,12,2443.4151353840007,1329.5266693659585,5009.8314796090835,0.95,median,qi,10,371,1370,18077,19046,0.0194791557282369,335.51730000000003,1.4218361845428392e-5,0.2708029197080292,1.028930153846154,10,FALSE
incid,13,2014.3266176928732,1070.0871440070125,4140.797423339015,0.95,median,qi,11,298,1405,15112,16465,0.01809899787427877,298.15191,1.2881849020838984e-5,0.21209964412811388,0.8639492666666667,11,FALSE
incid,14,1642.141594352021,861.4635321773073,3306.937874633498,0.95,median,qi,12,195,1489,12181,13870,0.01405912040374909,265.62996000000004,9.441988182504432e-6,0.13096037609133646,0.7555184333333334,12,FALSE
incid,15,1342.0165970288122,730.7110295717862,2673.6164794231936,0.95,median,qi,13,163,1285,9230,10929,0.0149144477994327,181.33749,1.1606574162982646e-5,0.12684824902723735,0.668328,13,FALSE
incid,16,966.3011395772762,488.10071813852153,1978.395819273958,0.95,median,qi,14,196,1455,6500,8108,0.02417365564874198,150.83685,1.6614196322159437e-5,0.13470790378006872,0.5848898461538461,14,FALSE
incid,17,655.5969529472732,298.10354353425436,1494.1233163462525,0.95,median,qi,15,112,1456,3965,5342,0.02096593036315986,100.37196,1.439967744722518e-5,0.07692307692307693,0.4709098974358974,15,FALSE
incid,18,512.8689685628516,176.05896525679523,1385.1877105389995,0.95,median,qi,16,54,1463,2226,3248,0.0166256157635468,61.30062,1.1364057254645796e-5,0.03691045796308954,0.39544722222222223,16,FALSE
incid,2,727.6876661325234,421.25528878341584,1403.0589272270984,0.95,median,qi,0,43,1458,3326,3423,0.01256208004674262,64.07811000000001,8.615967110248712e-6,0.02949245541838134,1.01470144,0,FALSE
incid,3,727.6876661325234,421.25528878341584,1403.0589272270984,0.95,median,qi,1,80,1427,3617,3475,0.02302158273381295,63.86688,1.6132854053127506e-5,0.05606166783461808,1.0602398133333333,1,FALSE
incid,4,727.6876661325234,421.25528878341584,1403.0589272270984,0.95,median,qi,2,57,1462,4042,3791,0.01503561065681878,71.037,1.0284275415060726e-5,0.03898768809849521,1.10317394,2,FALSE
incid,5,727.6876661325234,421.25528878341584,1403.0589272270984,0.95,median,qi,3,49,1321,4524,4214,0.01162790697674418,71.52516,8.802351988451313e-6,0.03709311127933384,1.1721443333333337,3,FALSE
incid,6,727.6876661325234,421.25528878341584,1403.0589272270984,0.95,median,qi,4,133,1463,5866,5147,0.02584029531766077,96.91461,1.7662539519932176e-5,0.09090909090909093,1.3343168,4,FALSE
incid,7,1307.305604047859,740.1179011524766,2631.952226838182,0.95,median,qi,5,121,1392,7951,6846,0.01767455448437043,123.13485,1.2697237416932784e-5,0.08692528735632184,1.4803552333333334,5,FALSE
incid,8,1775.0802582605888,979.4844452298285,3681.284221797828,0.95,median,qi,6,167,1405,10764,9195,0.01816204458945079,165.65157,1.292672212772298e-5,0.1188612099644128,1.5467182435897435,6,FALSE
incid,9,2156.312772025976,1162.5550859142297,4433.011976152833,0.95,median,qi,7,238,1406,14444,12402,0.0191904531527173,225.45693,1.3648970947878597e-5,0.16927453769559034,1.5332026153846154,7,FALSE
