variable,time,value,.lower,.upper,.width,.point,.interval,week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time.y,coverage
incid,10,4151.20827437536,2173.2256350754496,9596.108190414767,0.95,median,qi,8,251,1023,17754,15745,0.01594156875198475,209.86776,1.5583156160297905e-5,0.24535679374389052,1.4903758333333332,8,FALSE
incid,11,5850.55882084034,3043.723825381674,13459.414798220723,0.95,median,qi,9,353,1777,20085,18781,0.01879559128906873,430.67646,1.0577147602177118e-5,0.19864940911648848,1.3043389487179486,9,FALSE
incid,12,6256.473825588397,3196.0314431749634,14464.728788992334,0.95,median,qi,10,775,2205,18953,19526,0.03969066885178736,553.4154000000001,1.800030333414393e-5,0.35147392290249435,1.0609778461538464,10,FALSE
incid,13,6392.062409386666,3325.2852275447303,14610.58987338282,0.95,median,qi,11,423,2450,15967,17472,0.02421016483516483,549.7875,9.88169993272034e-6,0.17265306122448978,0.8883550000000001,11,FALSE
incid,14,5917.415725804222,3108.7767906452655,13551.049151547399,0.95,median,qi,12,604,2695,13048,14635,0.04127092586265801,506.628,1.5313887147553994e-5,0.22411873840445268,0.7746652333333334,12,TRUE
incid,15,4782.672233918927,2488.1673770390953,11068.80968835762,0.95,median,qi,13,657,3272,9982,11683,0.05623555593597534,488.03796000000006,1.7186905848403223e-5,0.20079462102689483,0.6825072,13,TRUE
incid,16,3653.2257024526757,1862.6061350832501,8601.071393863005,0.95,median,qi,14,474,4375,7070,8846,0.05358354058331449,493.82262,1.2247666419043311e-5,0.10834285714285714,0.5954726153846153,14,TRUE
incid,17,2859.248556414076,1336.0135349516029,7039.23765611444,0.95,median,qi,15,297,5478,4346,5845,0.05081266039349871,408.73842,9.275768600492649e-6,0.05421686746987952,0.47777938461538466,15,TRUE
incid,18,2321.2434387418007,842.916756739684,6790.556389593588,0.95,median,qi,16,235,6475,2465,3547,0.06625317169438963,293.139,1.0232150068631603e-5,0.03629343629343629,0.4002064444444445,16,TRUE
incid,2,321.2613209813763,177.0613189906738,688.1472821604098,0.95,median,qi,0,14,700,3054,2916,0.00480109739368998,26.244,6.858710562414267e-6,0.02,1.0240546133333337,0,FALSE
incid,3,321.2613209813763,177.0613189906738,688.1472821604098,0.95,median,qi,1,24,700,3232,3111,0.00771456123432979,27.999,1.1020801763328285e-5,0.03428571428571429,1.07132778,1,FALSE
incid,4,321.2613209813763,177.0613189906738,688.1472821604098,0.95,median,qi,2,12,700,3468,3342,0.00359066427289048,30.078000000000003,5.12952038984355e-6,0.01714285714285714,1.1165158,2,FALSE
incid,5,321.2613209813763,177.0613189906738,688.1472821604098,0.95,median,qi,3,22,700,4173,3837,0.00573364607766484,34.533,8.190922968092632e-6,0.03142857142857143,1.1888162666666668,3,FALSE
incid,6,321.2613209813763,177.0613189906738,688.1472821604098,0.95,median,qi,4,63,700,5384,4677,0.01347017318794098,42.093,1.9243104554201412e-5,0.09,1.3559970666666668,4,FALSE
incid,7,765.7040849997688,398.4665352256654,1743.2682888919674,0.95,median,qi,5,45,700,7488,6319,0.00712137996518436,56.871,1.0173399950263375e-5,0.06428571428571428,1.5074009000000002,5,FALSE
incid,8,1422.0559200871367,749.4208793777324,3360.266647930793,0.95,median,qi,6,67,700,10172,8669,0.00772868843003806,78.021,1.1040983471482952e-5,0.09571428571428572,1.578641717948718,6,FALSE
incid,9,2591.460189302109,1352.32470328546,5895.398552630573,0.95,median,qi,7,122,700,14028,11842,0.01030231379834487,106.578,1.471759114049268e-5,0.1742857142857143,1.5708662564102562,7,FALSE
