rhat,county,rownumber,bulkess,tailess,min_rt_essbulk,min_rt_esstail
0.9991090204757217,San Diego,1,342.87590961908495,696.3971232746092,2345.29543149839,2378.73971443595
1.0050914147065788,San Diego,2,3283.852578710291,3183.202007369144,NA,NA
0.9991772991864699,Stanislaus,1,320.86884290291613,537.3270894450064,1798.77771166166,2334.90562275483
1.0036167655431643,Stanislaus,2,3302.1003417432917,3146.804524368846,NA,NA
0.999347048654584,Contra Costa,1,231.6934554472175,320.68062712721985,1664.41091389828,2121.28782517631
1.0091459686592594,Contra Costa,2,3264.349706707298,3166.8820077996747,NA,NA
0.9991764587335471,Orange,1,112.33516990300521,329.34610250382843,1181.40526823582,1857.79898142993
1.0334779230391191,Orange,2,3313.7254028048314,3163.8347892682823,NA,NA
0.9991761713679856,Riverside,1,308.23649841972167,589.9381304183013,2285.80626431208,2555.07948169493
1.0053063396864939,Riverside,2,3313.29215687483,3140.954161769749,NA,NA
0.999241524815763,San Bernardino,1,262.0273161170346,405.0895364789356,2284.14215664786,2375.75663713817
1.0101899416734195,San Bernardino,2,3289.9448513212474,3119.903399129964,NA,NA
0.9992520042113877,San Francisco,1,191.64704406674105,210.84688300531835,1697.64897870236,2043.55733524804
1.0125169608745817,San Francisco,2,3238.3685359082033,3167.3828004480238,NA,NA
0.9992563960254474,Monterey,1,206.9482504171984,360.1110454911934,1567.47934784394,1824.44116419939
1.0320519149239498,Monterey,2,3179.350938823031,3115.188594442251,NA,NA
0.9992650759398681,Santa Clara,1,396.51423641439726,667.7745491504443,2545.51753779338,2517.58894876035
1.0070213982917346,Santa Clara,2,3475.69863585767,3149.4570143537017,NA,NA
0.9991107414044363,Sacramento,1,204.28323662293275,524.9195351925634,1200.24612400685,1525.55608487726
1.017439918996554,Sacramento,2,3172.627135987239,3073.437554671021,NA,NA
0.9991609933655792,Alameda,1,292.67096119234486,540.312584200068,1435.46210943758,1958.68050700921
1.0181234130741177,Alameda,2,3201.929999903838,3119.404044538097,NA,NA
0.9992775891232079,Merced,1,277.38101327902683,441.7776366803378,2032.51564778436,1920.03508989266
1.020362579109688,Merced,2,3236.2716235095054,3171.967770434172,NA,NA
0.9993117825095912,Fresno,1,265.98109366002126,616.6075449919805,1846.18874191756,2204.63793438269
1.006638925914229,Fresno,2,3208.5266116580137,3173.5397212028593,NA,NA
0.9991233143752944,Tulare,1,231.99991395755842,384.87952024084495,1392.53092729018,1635.17660345759
1.0064318014671867,Tulare,2,3202.3504197122,3117.466118626664,NA,NA
0.9992289903874082,Los Angeles,1,201.10285301490248,360.8444339736051,1519.91990820089,1781.57192572875
1.0103475622099594,Los Angeles,2,3210.5457896780304,3164.379850439323,NA,NA
