rhat,county,rownumber,bulkess,tailess,min_rt_essbulk,min_rt_esstail
0.9992249849821124,San Diego,1,291.2240867158279,325.22075300765835,2231.99135594115,2104.80120495543
1.012907331192057,San Diego,2,3393.6716472386793,3118.537505306202,NA,NA
0.9991713366001984,Stanislaus,1,317.1500165432326,651.2084319805667,1785.6663420645,2178.58822254713
1.0041153217605323,Stanislaus,2,3386.023254940955,3159.36078129941,NA,NA
0.9992763442160285,Contra Costa,1,203.90171523287307,512.7024614351545,1784.98937733781,1955.14489097203
1.0146230079673457,Contra Costa,2,3211.1492140399173,3115.2020525774774,NA,NA
0.9993276649636468,Orange,1,240.03001743058684,406.0584082137605,1244.85360821376,2307.69446140192
1.015352763453612,Orange,2,3332.556669456558,3207.9081482069914,NA,NA
0.9992538053990023,Riverside,1,266.45288064704175,459.98664685222013,1631.82564686605,2109.17868783196
1.0122821084086584,Riverside,2,3257.5145514385986,3095.3763191936823,NA,NA
0.9992377153546101,San Bernardino,1,260.07563646988086,395.9168869951168,2121.41390081678,2295.18329950914
1.0041900460826452,San Bernardino,2,3316.980982224092,3141.9530518854494,NA,NA
0.9992966716489323,San Francisco,1,311.1835427550151,537.9999723809227,2255.44923744636,2337.10028960161
1.0042461404144158,San Francisco,2,3226.8164334121416,3122.071850197499,NA,NA
0.9993528867379621,Monterey,1,239.2588667563277,517.1457074642259,2166.93316184222,2179.04321762587
1.004464485978106,Monterey,2,3327.797334442206,3116.3755544064534,NA,NA
0.9991910110799701,Santa Clara,1,273.78083335931893,345.18896195844326,2011.92051943497,2424.3992576884
1.004105291067155,Santa Clara,2,3233.827923860867,3168.464823502104,NA,NA
0.9994048561219407,Sacramento,1,164.39666931685795,314.5842969113427,1441.09229221344,2161.00954886935
1.01551933398575,Sacramento,2,3175.1535810813252,3210.836032399357,NA,NA
0.9992572122562945,Alameda,1,176.95945350888718,344.79626716718064,1133.44892611274,1391.84033806202
1.0073147984322477,Alameda,2,3342.6125913018755,3083.1503459061837,NA,NA
0.9992074385104597,Merced,1,333.5506464720323,452.86025589480715,1509.42101681814,1727.86977686703
1.007545425359184,Merced,2,3231.6129337946354,3164.5265797356074,NA,NA
0.9993047932677981,Fresno,1,339.44441978363636,572.6833579474428,2194.99332422507,2306.6966824023
1.0066829545108917,Fresno,2,3183.5614397753766,3071.6197742740196,NA,NA
0.9992559196750186,Tulare,1,305.1363379142062,718.5896178965049,1986.00356373028,2381.20702903105
1.0044099210511417,Tulare,2,3281.334475209633,3111.2541935061204,NA,NA
0.9991986393914594,Los Angeles,1,149.37806781994658,131.35886603356627,1352.18079550272,1940.90924398101
1.0166308824076429,Los Angeles,2,3145.521517817289,3159.1423017574775,NA,NA
