year,week,total_cases,total_tests,min_date,time,epidemia_time,.prediction,.lower,.upper,.width,.point,.interval
2021,35,1815,90351,2021-08-29,57,58,2331.5,1219,4135.5499999999965,0.95,median,qi
2021,36,1596,83070,2021-09-05,58,59,2090,972.8000000000002,3754.4749999999976,0.95,median,qi
2021,37,1297,89052,2021-09-12,59,60,1724,846.95,3135.2249999999985,0.95,median,qi
2021,38,1051,86636,2021-09-19,60,61,1425,719.7000000000003,2528.2249999999985,0.95,median,qi
2021,39,973,81011,2021-09-26,61,62,1139.5,539.9250000000001,2066.2499999999986,0.95,median,qi
2021,40,872,79940,2021-10-03,62,63,916.5,467,1671.2749999999985,0.95,median,qi
2021,41,731,78053,2021-10-10,63,64,751.5,368.9000000000001,1416.2499999999986,0.95,median,qi
2021,42,799,76150,2021-10-17,64,65,652.5,314,1173.1499999999992,0.95,median,qi
2021,43,813,74459,2021-10-24,65,66,577.5,295.975,1038.0249999999999,0.95,median,qi
2021,44,792,76068,2021-10-31,66,67,576,279.9750000000001,1011.0499999999997,0.95,median,qi
2021,45,792,73459,2021-11-07,67,68,607,300,1139,0.95,median,qi
2021,46,803,76511,2021-11-14,68,69,696,348,1272.5749999999969,0.95,median,qi
2021,47,707,45423,2021-11-21,69,70,890.5,448.92500000000007,1619.2749999999985,0.95,median,qi
2021,48,1006,85375,2021-11-28,70,71,1253,651,2288.774999999996,0.95,median,qi
2021,49,999,81847,2021-12-05,71,72,1886.5,975.9250000000001,3431.324999999998,0.95,median,qi
2021,50,1953,83384,2021-12-12,72,73,3086,1523.7750000000003,5425.249999999999,0.95,median,qi
2021,51,5131,76536,2021-12-19,73,74,5499.5,2726.5750000000003,9594.049999999994,0.95,median,qi
2021,52,13510,99990,2021-12-26,74,75,9254,4285.850000000001,17370.324999999986,0.95,median,qi
2022,1,29325,179493,2022-01-02,75,76,17425.5,8264.575,31954.799999999985,0.95,median,qi
2022,2,20492,145965,2022-01-09,76,77,31551,15614.825,58858.69999999994,0.95,median,qi
