date,incid_median,incid_CI95l,incid_CI95u,total_incid,coverage
-8,364.56200825420433,8.268346610898542,4018.4884877498484,NA,NA
-7,374.41525156552666,13.426434047490963,3863.621230051389,NA,NA
-6,392.50272120645013,9.414349547282471,4085.97127403333,NA,NA
-5,365.3071324104558,9.415909008528153,4157.51848576225,NA,NA
-4,377.64533947246673,8.965510398833304,3894.6299888058393,NA,NA
-3,415.19206727800906,14.251589636828667,3838.029306478941,NA,NA
-2,489.81532239921205,14.742897160961586,3045.880089397703,NA,NA
-1,679.9193457691684,76.44319259537008,2072.373395559769,NA,NA
0,1041.6726106120077,518.8427856071925,1854.6821503963386,3054,FALSE
1,1325.18463013445,685.6942801447819,2234.508398775619,3232,FALSE
2,1623.7345315839407,852.9863128527732,2753.84418037463,3468,FALSE
3,2385.447908557856,1297.1475487493806,3997.83987758157,4173,FALSE
4,3556.1692537097033,1953.6446660624235,5730.693183717115,5384,TRUE
5,4650.4571330558065,2482.8813131946767,7670.839864658813,7488,TRUE
6,6597.672001842902,3652.524738512232,10388.07294232387,10172,TRUE
7,9402.301540008266,5214.231840819351,14690.98766873417,14028,TRUE
8,11787.859080386981,6716.228582522662,18225.16249031373,17754,TRUE
9,13067.291894052018,7395.664342023329,20409.704354278092,20085,TRUE
10,13209.743296771798,7567.191663620105,20620.68289405196,18953,TRUE
11,11126.6531657661,6312.499455766777,17711.629029700558,15967,TRUE
12,9415.811171471923,5192.5279380023285,14779.44358867337,13048,TRUE
13,6609.587111492307,3652.5259034092005,10304.469413786297,9982,TRUE
14,3893.980091590225,2116.879873931202,6250.102105940989,7070,FALSE
15,2315.390500052419,1218.4638071593952,4184.3985438079235,4346,FALSE
16,1478.7135009602707,645.1228609630392,3253.2793547637684,2465,TRUE
