date,rt_median,rt_CI95l,rt_CI95u,true_rt,coverage
0,1.4816468577759467,0.7700594641718067,2.7415121374653295,1.0240546133333337,TRUE
1,1.4606138797081678,0.8493305404252094,2.321780509607267,1.07132778,TRUE
2,1.432444338220071,0.9133694316102539,2.070188778491885,1.1165158,TRUE
3,1.6749119996635342,1.2164060366472906,2.3527011236131066,1.1888162666666668,FALSE
4,1.7780357391756265,1.3168138790950945,2.5566458313486513,1.3559970666666668,TRUE
5,1.58042770132706,1.1232790011548917,2.1147748438197733,1.5074009000000002,TRUE
6,1.638692170809535,1.2072009045954635,2.199321431594292,1.578641717948718,TRUE
7,1.6276844417315552,1.190088944161901,2.1697066202417217,1.5708662564102562,TRUE
8,1.4305052360769488,1.0283742932419295,1.9180404573419536,1.4903758333333332,TRUE
9,1.3776803170988128,1.0387186621572158,1.8480191542102777,1.3043389487179486,TRUE
10,1.2044315709606073,0.8994183324147027,1.616986914165713,1.0609778461538464,TRUE
11,0.9902395479167903,0.7380667639187907,1.3156799255826852,0.8883550000000001,TRUE
12,0.8233538421821256,0.6063470193591016,1.1394867774449027,0.7746652333333334,TRUE
13,0.6081142162205081,0.43547658000913686,0.8160287396065324,0.6825072,TRUE
14,0.47089217145884865,0.3296939952898927,0.6528564326904611,0.5954726153846153,TRUE
15,0.40671553250014814,0.27159560412889033,0.5886332026474277,0.47777938461538466,TRUE
16,0.3923778595919185,0.22922888052948928,0.631974838778621,0.4002064444444445,TRUE
