date,incid_median,incid_CI95l,incid_CI95u,total_incid,coverage
-8,1020.4861888522853,25.954689992209598,9298.284045793556,NA,NA
-7,975.7253865192818,34.60810979164076,10287.6466921507,NA,NA
-6,966.3105807696832,27.696367766954957,10183.593891937426,NA,NA
-5,1043.1795265908236,33.49842563161577,10118.381884906958,NA,NA
-4,1075.5034758911097,32.23395790239602,9400.847071443748,NA,NA
-3,1131.9670637629251,29.03782328564134,10033.009169012053,NA,NA
-2,1418.0769748889013,44.94027266234054,7449.685291383654,NA,NA
-1,1576.5218367157722,122.36359313373595,3994.1583940525697,NA,NA
0,2530.273264561094,1393.9605354083935,4024.1600105349066,3326,TRUE
1,3077.674394894722,1720.4006559389084,4732.200879468353,3617,TRUE
2,3267.825118509916,1770.8622351045478,5057.9476629504925,4042,TRUE
3,4098.8634316834705,2253.8654940226506,6259.363330845972,4524,TRUE
4,5866.129001297757,3260.3616637316777,8578.68019305061,5866,TRUE
5,7250.421417115358,4066.9451713405756,10786.523388015787,7951,TRUE
6,9433.427072788498,5443.418428251916,13949.388098013778,10764,TRUE
7,11838.741991581355,6665.117571766922,17441.795834709836,14444,TRUE
8,13745.034118951564,7729.771463390453,20381.337495807264,17994,TRUE
9,16244.773149715045,9150.544572877021,24234.301481948678,19830,TRUE
10,15862.346528766373,9075.762429099073,23732.912777601705,18077,TRUE
11,12461.155911212689,7003.767142068707,18487.044636079037,15112,TRUE
12,9862.713291072829,5426.510187928406,14916.378671431881,12181,TRUE
13,8405.39601572727,4737.238337549092,12410.090452341037,9230,TRUE
14,6361.4165058864655,3565.3170551398284,9525.3718595887,6500,TRUE
15,3832.327025848832,2095.2027364445253,6233.694285062082,3965,TRUE
16,2424.3526178616858,1098.8499798694806,4811.75060065971,2226,TRUE
