date,rt_median,rt_CI95l,rt_CI95u,true_rt,coverage
0,1.5048632193855354,0.7242509985918955,2.938465392255992,1.0240546133333337,TRUE
1,1.4933224304832384,0.8160738699830039,2.4869024068268755,1.07132778,TRUE
2,1.457552041335223,0.9060979856207286,2.1800414416115346,1.1165158,TRUE
3,1.6713514433336734,1.157467288707438,2.4108433798610616,1.1888162666666668,TRUE
4,1.7883294337603404,1.2763213985267623,2.5613291459367624,1.3559970666666668,TRUE
5,1.6253321017143252,1.122672942080367,2.261164937238894,1.5074009000000002,TRUE
6,1.6986431028995683,1.2045956763433265,2.3554875278341396,1.578641717948718,TRUE
7,1.726699177391915,1.2378366668123437,2.4548015913533354,1.5708662564102562,TRUE
8,1.5311211824040614,1.1033749037413645,2.160228654082892,1.4903758333333332,TRUE
9,1.300213441308284,0.9308885159136142,1.82191219879942,1.3043389487179486,TRUE
10,1.1245085117556497,0.8145764658890752,1.5498475707909503,1.0609778461538464,TRUE
11,0.8905580250906338,0.6296092732498622,1.2153047213659556,0.8883550000000001,TRUE
12,0.7892813458251333,0.5584209989944374,1.1224265699544667,0.7746652333333334,TRUE
13,0.62481680399921,0.4412527540556128,0.879262360893878,0.6825072,TRUE
14,0.46814288075812516,0.30128570984545516,0.6821523082703963,0.5954726153846153,TRUE
15,0.40012226241698023,0.2510094113457431,0.6228691926342593,0.47777938461538466,TRUE
16,0.38813880325870304,0.2142610404437351,0.6915343286647376,0.4002064444444445,TRUE
