week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time,epidemia_time
0,14,700,3054,2916,0.004801097393689987,26.244,6.858710562414267e-6,0.02,1.0240546133333335,0,13
1,24,700,3232,3111,0.007714561234329798,27.999000000000002,1.1020801763328283e-5,0.03428571428571429,1.07132778,1,14
2,12,700,3468,3342,0.003590664272890485,30.078000000000003,5.12952038984355e-6,0.017142857142857144,1.1165158,2,15
3,22,700,4173,3837,0.005733646077664843,34.533,8.190922968092632e-6,0.03142857142857143,1.1888162666666668,3,16
4,63,700,5384,4677,0.013470173187940988,42.093,1.9243104554201412e-5,0.09,1.3559970666666668,4,17
5,45,700,7488,6319,0.0071213799651843645,56.871,1.0173399950263377e-5,0.06428571428571428,1.5074009000000002,5,18
6,75,781,10172,8669,0.008651516899296344,87.54597000000001,1.1077486426755882e-5,0.09603072983354674,1.578641717948718,6,19
7,173,969,14028,11842,0.014609018746833305,148.17519000000001,1.5076386735638086e-5,0.1785345717234262,1.5708662564102562,7,20
8,209,1293,17754,15745,0.01327405525563671,263.82357,1.0266090684947185e-5,0.16163959783449341,1.4903758333333332,8,21
9,403,1857,20085,18781,0.021457856344177625,449.5887,1.155511919449522e-5,0.21701669359181475,1.3043389487179486,9,22
10,636,2258,18953,19526,0.03257195534159582,566.6435100000001,1.4425135226570337e-5,0.2816651904340124,1.0609778461538464,10,23
11,547,2625,15967,17472,0.03130723443223443,588.80421,1.192656549799407e-5,0.2083809523809524,0.8883550000000001,11,24
12,770,2992,13048,14635,0.05261359754014349,562.27347,1.7584758536144215e-5,0.25735294117647056,0.7746652333333334,12,25
13,546,3202,9982,11683,0.046734571599760334,480.58866,1.4595431480249948e-5,0.17051842598376016,0.6825072,13,26
14,361,3325,7070,8846,0.04080940538096315,377.75502000000006,1.2273505377733278e-5,0.10857142857142857,0.5954726153846153,14,27
15,208,3448,4346,5845,0.03558597091531223,258.79212,1.0320757226018628e-5,0.060324825986078884,0.47777938461538466,15,28
16,141,3675,2465,3547,0.039751903016633776,166.87548,1.0816844358267694e-5,0.03836734693877551,0.4002064444444445,16,29
