week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time,epidemia_time
0,14,700,3054,2916,0.004801097393689987,26.244,6.858710562414267e-6,0.02,1.0240546133333335,0,13
1,24,700,3232,3111,0.007714561234329798,27.999000000000002,1.1020801763328283e-5,0.03428571428571429,1.07132778,1,14
2,12,700,3468,3342,0.003590664272890485,30.078000000000003,5.12952038984355e-6,0.017142857142857144,1.1165158,2,15
3,22,700,4173,3837,0.005733646077664843,34.533,8.190922968092632e-6,0.03142857142857143,1.1888162666666668,3,16
4,63,700,5384,4677,0.013470173187940988,42.093,1.9243104554201412e-5,0.09,1.3559970666666668,4,17
5,45,700,7488,6319,0.0071213799651843645,56.871,1.0173399950263377e-5,0.06428571428571428,1.5074009000000002,5,18
6,67,700,10172,8669,0.007728688430038067,78.021,1.1040983471482953e-5,0.09571428571428571,1.578641717948718,6,19
7,122,700,14028,11842,0.010302313798344875,106.578,1.471759114049268e-5,0.1742857142857143,1.5708662564102562,7,20
8,251,1023,17754,15745,0.015941568751984755,209.86776,1.5583156160297905e-5,0.24535679374389052,1.4903758333333332,8,21
9,353,1777,20085,18781,0.018795591289068738,430.67646,1.0577147602177118e-5,0.19864940911648846,1.3043389487179486,9,22
10,775,2205,18953,19526,0.03969066885178736,553.4154000000001,1.800030333414393e-5,0.35147392290249435,1.0609778461538464,10,23
11,423,2450,15967,17472,0.024210164835164836,549.7875,9.881699932720341e-6,0.17265306122448978,0.8883550000000001,11,24
12,604,2695,13048,14635,0.041270925862658014,506.62800000000004,1.5313887147553994e-5,0.22411873840445268,0.7746652333333334,12,25
13,657,3272,9982,11683,0.056235555935975345,488.03796000000006,1.7186905848403223e-5,0.20079462102689485,0.6825072,13,26
14,474,4375,7070,8846,0.05358354058331449,493.82262000000003,1.2247666419043313e-5,0.10834285714285714,0.5954726153846153,14,27
15,297,5478,4346,5845,0.050812660393498715,408.73842,9.275768600492647e-6,0.05421686746987952,0.47777938461538466,15,28
16,235,6475,2465,3547,0.06625317169438963,293.139,1.0232150068631603e-5,0.036293436293436294,0.4002064444444445,16,29
